episode,reward,length
215,21.834999999999997,189
216,-19.464999999999996,84
217,-18.735,47
218,-17.135000000000005,119
219,-19.46,72
220,-19.72,57
221,-18.555,31
222,26.4,139
223,-18.285,46
224,-19.395000000000003,33
225,-17.91,26
226,25.575,158
227,-17.975000000000005,157
228,26.679999999999996,115
229,-22.89,138
230,-16.435,70
231,-16.355000000000004,136
232,-19.765,83
233,-15.10500000000001,125
234,-19.005,39
235,-15.160000000000007,111
236,-18.38,24
237,-19.790000000000003,56
238,-20.16,140
239,24.895,179
240,-25.849999999999998,183
241,27.025,109
242,-19.83,86
243,26.904999999999998,106
244,20.689999999999998,206
245,-18.47,74
246,-16.31,36
247,27.65,94
248,-18.16,50
249,-18.31,51
250,-14.475000000000007,101
251,23.994999999999997,150
252,26.255,129
253,-14.485000000000001,89
254,-18.889999999999997,56
255,-14.480000000000004,67
256,-18.095000000000002,210
257,-23.045,246
258,-19.23,79
259,27.235,104
260,-17.064999999999998,95
261,-15.730000000000002,67
262,-20.314999999999998,92
263,27.189999999999998,121
264,27.7,122
265,27.099999999999998,129
266,-15.470000000000006,103
267,-18.415,55
268,27.839999999999996,102
269,-15.020000000000001,79
270,21.374999999999996,339
271,27.854999999999997,135
272,-18.125,42
273,-17.374999999999996,61
274,-18.904999999999998,58
275,-16.944999999999997,109
276,-15.779999999999998,56
277,-18.305,28
278,26.209999999999997,127
279,-19.7,116
280,-18.08,53
281,27.29,124
282,-21.334999999999997,95
283,-16.029999999999998,62
284,28.319999999999997,91
285,27.729999999999997,97
286,-18.67,49
287,27.669999999999998,147
288,28.729999999999997,75
289,27.029999999999998,111
290,-14.435000000000004,100
291,-17.335,138
292,-17.295,126
293,-19.400000000000002,48
294,-18.38,45
295,-16.689999999999998,52
296,27.904999999999998,110
297,26.429999999999996,123
298,26.595,112
299,-17.639999999999997,25
300,-19.055,63
